Version,Challenge,Time,Alias,Region,Characters,Notes
2.3,"Day 3 ",1:08,"<a href=""https://youtu.be/A2XpZkghbWg"">Bossam</a>",America,Tartaglia Bennett Xiangling Jean,Food Buff
2.3,Day 3,1:10,"<a href=""https://youtu.be/kNLj2B_uqAk"">MidnightMax.TH</a>",Asia,Tartaglia Xiangling Kazuha Bennett,
2.3,Day 3,1:14,"<a href=""https://youtu.be/bj3HUGNQu2c"">Chiarah</a>",Europe,Raiden Xinqiu Xiangling Bennett,Food Buff
2.3,"Day 3 ",1:55,"<a href=""https://youtu.be/-4XqUuDCNss"">そうま綾小路</a>",Asia,Ayaka,Ayaka Solo/Food Buff
2.3,Day 3,1:55,"<a href=""https://youtu.be/AEF8iTeywl4"">Mizore</a>",Europe,Raiden Kazuha Bennett Xiangling,
2.3,Day 3,2:09,"<a href=""https://youtu.be/J6km08UkOhU"">Shintenzu</a>",Europe,Xiao Jean Kazuha Bennett,Food Buff
2.3,Day 3,2:19,"<a href=""https://youtu.be/Bt-5ZaeP_BE"">rayn</a>",Asia,Tartaglia Bennett Sucrose Xiangling,
2.3,Day 2,0:29,"<a href=""https://youtu.be/1nq5Vw6ivsU"">Uni</a>",Asia,Raiden Kazuha Sara Bennett,Food Buff
2.3,Day 2,0:40,"<a href=""https://youtu.be/PhQa9DxycUk"">Zades</a>",America,Raiden Kazuha Sara Bennett,Food Buff
2.3,Day 2,0:43,"<a href=""https://youtu.be/g3bsILRK9O4"">Dispoverychannel</a>",Europe,Itto Zhongli Gorou Bennett,Food Buff
2.3,Day 2,0:52,"<a href=""https://youtu.be/tfxz9ERLGJY"">Chiara</a>",Europe,Raiden Sara Kazuha Bennett,Food Buff
2.3,Day 2,1:00,"<a href=""https://youtu.be/ZAvU4RfswZ8"">Memu</a>",Europe,Kazuha Zhongli Raiden Mona,Food Buff
2.3,Day 2,1:17,"<a href=""https://youtu.be/YJHKCCd_p1g"">Unoire-</a>",Asia,Mona Xiangling Kazuha Bennett,Food Buff
2.3,Day 2,1:31,"<a href=""https://youtu.be/AEF8iTeywl4"">Mizore</a>",Europe,Mona Kazuha Bennett Xiangling,
2.3,Day 2,1:33,"<a href=""https://youtu.be/gjScKF0Nq04"">eru</a>",Asia,Raiden Bennett Sara Kazuha,
2.3,Day 2,1:35,"<a href=""https://youtu.be/YzvsgE-LzFE"">Truedrew</a>",America,Itto Zhongli Gorou Albedo,Food Buff
2.3,Day 1,0:45,"<a href=""https://youtu.be/2ej-APWK7KM"">Uni</a>",Asia,Eula Raiden Zhongli Bennett,Food Buff
2.3,Day 1,0:53,"<a href=""https://youtu.be/RqPXRTyoGvE"">Dispoverychannel</a>",Europe,Eula Zhongli Raiden Bennett,Food Buff
2.3,"Day 1 ",1:00,"<a href=""https://youtu.be/OjemkyfpFho"">pewpew</a>",Europe,Tartaglia Kazuha Bennett Xiangling,Food Buff
2.3,Day 1,1:01,"<a href=""https://youtu.be/2esMqdObzzk"">Zades</a>",America,Eula Raiden Bennett Venti,Food Buff
2.3,Day 1,1:04,"<a href=""https://youtu.be/BYxNOeMKdDw"">pikachuwei</a>",Asia,Eula Zhongli Jean Raiden,
2.3,Day 1,1:05,"<a href=""https://youtu.be/EQfWXEVcEI8"">LACola</a>",Asia,Mona Raiden Zhongli Fischl,Food Buff
2.3,Day 1,1:08,"<a href=""https://youtu.be/AzU7C-awB-o"">Shaft_HeadTilt</a>",Europe,Eula Raiden Bennett Kazuha,Food Buff
2.3,Day 1,1:18,"<a href=""https://youtu.be/qMsLWzlCg60"">Chiara</a>",Europe,Tartaglia Kazuha Bennett Xiangling,
2.3,Day 1,1:28,"<a href=""https://youtu.be/yU0Gzu2L_j0"">Mashizzung99</a>",Asia,Ayaka Ganyu Mona Diona,Food Buff
2.3,Day 1,1:36,"<a href=""https://youtu.be/AEF8iTeywl4"">Mizore</a>",Europe,Raiden Kazuha Bennett Xiangling,
"2,3","Day 3 ",0:36,"<a href=""https://youtu.be/YrYxBhds42w"">Uni</a>",Asia,Raiden Kazuha Sara Bennett,Food Buff
1.2,Day 1,1:01,"<a href=""https://youtu.be/2syO0ceTtmg"">Memu</a>",Europe,Raiden Kazuha Bennett Sara,
,,,,,,
