Version,Challenge,Time,Alias,Region,Characters,Notes
2.4,Day 3 Stage 4,0:00:26,"<a href=""https://youtu.be/-iWYDvRRfxA"">eru</a>",Asia,"Raiden Kazuha Sara Bennett ",Fearless
2.4,Day 3 Stage 4,0:00:45,"<a href=""https://youtu.be/hkwwsfd2UTM"">Truedew</a>",America,Itto Gorou Zhongli Albedo,Fearless
2.4,Day 3 Stage 3,0:00:04,"<a href=""https://youtu.be/f1UqeVX5N34"">Gemma</a>",Europe,Ganyu Klee Bennett Venti,Normal
2.4,Day 3 Stage 3,0:00:05,"<a href=""https://youtu.be/J_4kxPlVJ2E"">MidnightMax.TH</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 3 Stage 3,0:00:06,"<a href=""https://youtu.be/eh-EEHm-nDI"">Skizdal</a>",Europe,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 3 Stage 3,0:00:10,"<a href=""https://youtu.be/j4cGD1eltd0"">LACola</a>",Asia,Mona Xiangling Kazuha Bennett,Normal
2.4,Day 3 Stage 3,0:00:12,"<a href=""https://youtu.be/mQnr-h7ikQk"">Chiara</a>",Europe,Ayaka Kokomi Hutao Kazuha,Extreme
2.4,Day 3 Stage 3,0:00:22,"<a href=""https://youtu.be/P4cdvrwC--A"">Dispoverychannel</a>",Europe,Itto Gorou Zhongli Eula,Extreme
2.4,Day 3 Stage 2,0:00:04,"<a href=""https://youtu.be/hh3e7zSXBbw"">LACola</a>",Asia,Ayaka Eula Shenhe Venti,Normal
2.4,Day 3 Stage 2,0:00:04,"<a href=""https://youtu.be/f1UqeVX5N34"">Gemma</a>",Europe,Ganyu Klee Bennett Venti,Normal
2.4,Day 3 Stage 2,0:00:04,"<a href=""https://youtu.be/d-zCo50XZ3M"">MidnightMax.TH</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 3 Stage 2,0:00:10,"<a href=""https://youtu.be/mQnr-h7ikQk"">Chiara</a>",Europe,Raiden Sara Venti Bennett,Hard
2.4,Day 3 Stage 2,0:00:15,"<a href=""https://youtu.be/P4cdvrwC--A"">Dispoverychannel</a>",Europe,Raiden Sara Kazuha Bennett,Hard
2.4,Day 3 Stage 2,0:00:22,"<a href=""https://youtu.be/gHSUoUGDJzA"">Bossam</a>",America,Xiao Zhonlgi Jean Bennett,Fearless
2.4,Day 3 Stage 1,0:00:03,"<a href=""https://youtu.be/hh3e7zSXBbw"">LACola</a>",Asia,Ayaka Eula Shenhe Venti,Normal
2.4,Day 3 Stage 1,0:00:03,"<a href=""https://youtu.be/f1UqeVX5N34"">Gemma</a>",Europe,Ganyu Klee Bennett Venti,Normal
2.4,Day 3 Stage 1,0:00:04,"<a href=""https://youtu.be/ljpy0JqwHUI"">Gemma</a>",Europe,Ganyu Venti Xiangling Bennett,Normal
2.4,Day 3 Stage 1,0:00:04,"<a href=""https://youtu.be/mMXbiN71pL4"">Kyousuku</a>",Europe,Shenhe Ayaka Sucrose Kokomi,Normal
2.4,Day 3 Stage 1,0:00:04,"<a href=""https://youtu.be/8lioVolTUHg"">Giles</a>",America,Ayaka Hutao Bennett Venti,Normal
2.4,Day 3 Stage 1,0:00:04,"<a href=""https://youtu.be/Uugic6UTgsY"">Chiara</a>",Europe,Ayaka Hutao Venti Bennett,Normal
2.4,Day 3 Stage 1,0:00:08,"<a href=""https://youtu.be/P4cdvrwC--A"">Dispoverychannel</a>",Europe,Ganyu Kokomi Zhongli Sucrose,Normal
2.4,Day 3 Stage 1,0:00:10,"<a href=""https://youtu.be/j4cGD1eltd0"">LACola</a>",Asia,Mona Xiangling Kazuha Bennett,Normal
2.4,Day 3 Stage 1,0:00:14,"<a href=""https://www.youtube.com/watch?v=pS8X66wzvW8"">Gemma</a>",Europe,Ganyu Venti Xiangling Bennett,Fearless
2.4,Day 3 Stage 1,0:00:14,"<a href=""https://youtu.be/mQnr-h7ikQk"">Chiara</a>",Europe,Ayaka Kokomi Hutao Kazuha,Normal
2.4,Day 2 Stage 4,0:00:04,"<a href=""https://youtu.be/AfwxE1kFEq4"">L</a>",America,Tartaglia Kazuha Bennett Xiangling,Normal
2.4,Day 2 Stage 4,0:00:04,"<a href=""https://youtu.be/fE0ytjDXpts"">MidnightMax.TH</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:05,"<a href=""https://youtu.be/TQNmIbQ5ues"">rayn</a>",Asia,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:05,"<a href=""https://youtu.be/vRLIkyxwHdQ"">Aimz</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:05,"<a href=""https://youtu.be/THYpCxCRIMU"">MidnightMax.TH</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:05,"<a href=""https://youtu.be/3aGjgMnow7A"">Seres</a>",America,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:05,"<a href=""https://youtu.be/eh-EEHm-nDI"">Skizdal</a>",Europe,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:06,"<a href=""https://youtu.be/4J4pqdR-AXw"">arashi</a>",America,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:07,"<a href=""https://youtu.be/mFIAQarEhcY"">Masonsita</a>",Europe,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:08,"<a href=""https://youtu.be/LCoi9zt93Rc"">Shizu</a>",Europe,Ayaka Shenhe Eula Bennett,Normal
2.4,Day 2 Stage 4,0:00:08,"<a href=""https://youtu.be/nwC-EhqD8C8"">Gemma</a>",Europe,Ganyu Kazuha Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:10,"<a href=""https://youtu.be/Yorpyf8KvTU"">dudcom</a>",America,Xiao Zhongli Bennett Lisa,Normal
2.4,Day 2 Stage 4,0:00:10,"<a href=""https://youtu.be/KapXaXOCEdE"">Seskiboii</a>",Asia,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 2 Stage 4,0:00:12,"<a href=""https://youtu.be/e6JT8VjoVsQ"">Soros</a>",Asia,Tartaglia Xiangling Kazuha Bennett,Normal
2.4,Day 2 Stage 4,0:00:15,"<a href=""https://youtu.be/XHbkSkc34uM"">Shintenzu</a>",Europe,Xiao Jean Zhongli Bennett,Fearless
2.4,Day 2 Stage 4,0:00:16,"<a href=""https://youtu.be/88vq9MaPu_Y"">rayn</a>",Asia,Tartaglia Sucrose Xiangling Bennett,Fearless
2.4,Day 2 Stage 4,0:00:20,"<a href=""https://youtu.be/JTl2kg501A8"">Bossam</a>",America,Xiao Zhongli Jean Bennett,Fearless
2.4,Day 2 Stage 4,0:00:21,"<a href=""https://youtu.be/VpU0Wk58uNE"">pikachuwei</a>",Asia,Xiao Zhongli Jean Bennett,Fearless
2.4,Day 2 Stage 4,0:00:22,"<a href=""https://youtu.be/wDX0aLDolRA"">Chrys</a>",Europe,Keqing Zhongli Bennett Sara,Fearless
2.4,Day 2 Stage 3,0:00:23,"<a href=""https://youtu.be/nwC-EhqD8C8"">Gemma</a>",Europe,Ganyu Venti Eula Bennett,Normal
2.4,Day 2 Stage 2,0:00:07,"<a href=""https://youtu.be/nwC-EhqD8C8"">Gemma</a>",Europe,Ganyu Venti Xiangling Bennett,Normal
2.4,Day 2 Stage 2,0:00:08,"<a href=""https://youtu.be/j4cGD1eltd0"">LACola</a>",Asia,Mona Xiangling Kazuha Bennett,Normal
2.4,Day 2 Stage 1,0:00:12,"<a href=""https://youtu.be/nwC-EhqD8C8"">Gemma</a>",Europe,Ganyu Venti Xiangling Bennett,Normal
2.4,Day 1 Stage 4,0:00:06,"<a href=""https://youtu.be/miyUnsGJ2u8"">Gemma</a>",Europe,Ganyu Venti Xiangling Bennett,Normal
2.4,Day 1 Stage 4,0:00:07,"<a href=""https://youtu.be/mFIAQarEhcY"">Masonsita</a>",Europe,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 1 Stage 4,0:00:09,"<a href=""https://youtu.be/j4cGD1eltd0"">LACola</a>",Asia,Mona Xiangling Venti Bennett,Normal
2.4,Day 1 Stage 3,0:00:04,"<a href=""https://youtu.be/CL8yyh82OHI"">MidnightMax.TH</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 1 Stage 3,0:00:16,"<a href=""https://youtu.be/miyUnsGJ2u8"">Gemma</a>",Europe,Ganyu Zhongli Xiangling Bennett,Normal
2.4,Day 1 Stage 2,0:00:10,"<a href=""https://youtu.be/miyUnsGJ2u8"">Gemma</a>",Europe,Ganyu Zhongli Xiangling Bennett,Normal
2.4,Day 1 Stage 1,0:00:04,"<a href=""https://youtu.be/fkkPVE34OSY"">Ziekfried</a>",America,Raiden Venti Sara Bennett,Normal
2.4,Day 1 Stage 1,0:00:04,"<a href=""https://youtu.be/Rexhs_DHDH0"">iSilas</a>",Europe,Ayaka Eula Venti Xiangling,Normal
2.4,Day 1 Stage 1,0:00:04,"<a href=""https://youtu.be/eh-EEHm-nDI"">Skizdal</a>",Europe,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 1 Stage 1,0:00:04,"<a href=""https://youtu.be/miyUnsGJ2u8"">Gemma</a>",Europe,Eula Ganyu Venti Bennett,Normal
2.4,Day 1 Stage 1,0:00:05,"<a href=""https://youtu.be/4J4pqdR-AXw"">arashi</a>",America,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 1 Stage 1,0:00:05,"<a href=""https://youtu.be/3aGjgMnow7A"">Seres</a>",America,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 1 Stage 1,0:00:07,"<a href=""https://youtu.be/j4cGD1eltd0"">LACola</a>",Asia,Mona Xiangling Venti Bennett,Normal
2.4,"Day 1 Stage 1 ",0:00:09,"<a href=""https://youtu.be/75wyPEP8XGc"">Seskiboii</a>",Asia,Tartaglia Sucrose Xiangling Bennett,Normal
,,,,,,
